Kanji;Kana;Romaji;Translation;Part of Speech;Translation RU
終了;しゅうりょう;shuuryou;end, close, termination​;Noun, Suru verb, Transitive verb, Intransitive verb;конец, закрыть, прекращение
修正;しゅうせい;shuusei;amendment, correction;Noun, Suru verb, Transitive verb;Поправка, исправление
就職;しゅうしょく;shuushoku;finding employment;Noun, Suru verb, Intransitive verb;Поиск работы
終点;しゅうてん;shuuten;terminus, last stop (e.g. train)​;Noun;Terminus, последняя остановка (I.N. Train)
育つ;そだつ;sodatsu;to be raised;Godan verb with 'tsu' ending, Intransitive verb;быть поднятым
袖;そで;sode;sleeve;Noun;рукав
祖父母;そふぼ;sofubo;grandparents;Noun;бабушка и дедушка
底;そこ;soko;bottom, sole;Noun;внизу, подошва
速度;そくど;sokudo;speed, velocity;Noun;скорость, скорость
粗末;そまつ;somatsu;rude, rough, plain;Na-adjective (keiyodoshi), Noun;грубый, грубый, простой
損;そん;son;loss, disadvantage;Noun, Na-adjective (keiyodoshi), Suru verb, Intransitive verb;потеря, недостаток
備える;そなえる;sonaeru;to furnish, to provide for;Ichidan verb, Transitive verb;предоставить, чтобы обеспечить
尊重;そんちょう;sonchou;respect, esteem;Noun, Suru verb, Transitive verb;уважение, уважение
損害;そんがい;songai;damage, injury, loss;Noun, Suru verb;ущерб, травма, потеря
尊敬;そんけい;sonkei;respect, esteem;Noun, Suru verb, Transitive verb;уважение, уважение
存在;そんざい;sonzai;existence, being;Noun, Suru verb, Intransitive verb;существование, существо
夫々;それぞれ;sorezore;each, respectively​;Adverb (fukushi), Noun, Noun which may take the genitive case particle 'no';каждый соответственно
注ぐ;そそぐ;sosogu;to pour into, to fill;Godan verb with 'gu' ending, Transitive verb;залить, чтобы заполнить
組織;そしき;soshiki;organization;Noun, Suru verb;организация
装置;そうち;souchi;equipment, installation;Noun, Suru verb, Transitive verb;оборудование, установка
早朝;そうちょう;souchou;early morning;Noun, Adverb (fukushi);Рано утром
掃除機;そうじき;soujiki;vacuum cleaner​;Noun;пылесос
騒音;そうおん;souon;noise;Noun;шум
操作;そうさ;sousa;operation, management;Noun, Suru verb, Transitive verb;Операция, управление
早退;そうたい;soutai;leaving early​;Noun, Suru verb, Intransitive verb;уезжая рано
相当;そうとう;soutou;considerable, suitable;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no';значительно, подходит
相続;そうぞく;souzoku;succession, inheritance;Noun, Suru verb, Transitive verb;последовательность, наследование
想像;そうぞう;souzou;imagination, guess;Noun, Suru verb, Transitive verb;Воображение, угадайте
巣;す;su;nest, hive;Noun;гнездо, улей
全て;すべて;subete;everything, all;Noun, Noun which may take the genitive case particle 'no';Все, все
末;すえ;sue;tip, top, end, close;Noun;наконечник, вверху, конец, закрыть
姿;すがた;sugata;figure, form, shape;Noun;Рисунок, форма, форма
筋;すじ;suji;muscle;Noun;мышца
過ごす;すごす;sugosu;to pass (time);Godan verb with 'su' ending, Transitive verb;пройти (время)
優れる;すぐれる;sugureru;to surpass, to excel;Ichidan verb, Intransitive verb;превзойти, преуспеть
水準;すいじゅん;suijun;level, standard;Noun;Уровень, стандартный
睡眠;すいみん;suimin;sleep;Noun, Noun which may take the genitive case particle 'no';спать
推薦;すいせん;suisen;recommendation, referral;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';Рекомендация, направление
救う;すくう;sukuu;to rescue from;Godan verb with 'u' ending, Transitive verb;чтобы спасти от
済ませる;すませる;sumaseru;to finish;Ichidan verb, Transitive verb;чтобы закончить
鋭い;するどい;surudoi;sharp, pointed;I-adjective (keiyoushi);резкий, заостренный
進める;すすめる;susumeru;to advance, to promote;Ichidan verb, Transitive verb;Чтобы продвинуться, чтобы продвигать
勧める;すすめる;susumeru;to recommend;Ichidan verb, Transitive verb;рекомендовать
素敵;すてき;suteki;lovely, beautiful;Na-adjective (keiyodoshi);Прекрасно, красиво
数字;すうじ;suuji;numeral, figure, digit;Noun;Цифра, рисунок, цифра
束;たば;taba;bundle, bunch;Noun, Noun, used as a suffix, Counter;связка, куча
旅;たび;tabi;travel, trip, journey;Noun;Путешествие, путешествие, путешествие
度々;たびたび;tabitabi;often, again and again;Adverb (fukushi);часто снова и снова
多分;たぶん;tabun;perhaps, probably;Adverb (fukushi);Возможно, наверное
立場;たちば;tachiba;standpoint, position;Noun;точка зрения, позиция
立上る;たちのぼる;tachiagaru;to stand up;Godan verb with 'ru' ending, Intransitive verb;встать
唯;ただ;tada;ordinary, free of charge;Noun which may take the genitive case particle 'no', Noun;обычный, бесплатный
直ちに;ただちに;tadachi ni;at once, immediately;Adverb (fukushi);сразу, немедленно
互い;たがい;tagai;mutual, reciprocal;Noun, Noun which may take the genitive case particle 'no';взаимный, взаимный
態度;たいど;taido;attitude, manner;Noun;отношение, манера
大半;たいはん;taihan;majority, more than half;Noun, Noun which may take the genitive case particle 'no';большинство, более половины
逮捕;たいほ;taiho;arrest, apprehension;Noun, Suru verb, Transitive verb;арест, задержание
体育;たいいく;taiiku;physical education;Noun;физическая культура
体育館;たいいくかん;taiikukan;gymnasium;Noun;гимназия
体重;たいじゅう;taijuu;(body) weight​;Noun;(тело) вес
大会;たいかい;taikai;convention, tournament;Noun;Конвенция, турнир
大気;たいき;taiki;atmosphere;Noun;атмосфера
退屈;たいくつ;taikutsu;tedium, boredom;Na-adjective (keiyodoshi), Noun;Тедий, скука
体温;たいおん;taion;body temperature;Noun;температура тела
平ら;たいら;taira;flatness, level;Na-adjective (keiyodoshi);плоскостность, уровень
大陸;たいりく;tairiku;continent;Noun, Noun which may take the genitive case particle 'no';континент
体力;たいりょく;tairyoku;physical strength, stamina;Noun;Физическая сила, выносливость
大量;たいりょう;tairyou;large quantity, mass;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun;Большое количество, масса
大戦;たいせん;taisen;great war, great battle;Noun;Великая война, великая битва
大使;たいし;taishi;ambassador;Noun, Noun which may take the genitive case particle 'no';посол
大した;たいした;taishita;considerable, great;Pre-noun adjectival (rentaishi);значительно, отлично
対象;たいしょう;taishou;target, object;Noun, Noun which may take the genitive case particle 'no';цель, объект
体操;たいそう;taisou;gymnastics, physical exercises;Noun, Suru verb, Intransitive verb;Гимнастика, физические упражнения
対する;たいする;tai suru;to face (each other);Suru verb - special class;лицом к лицу (друг с другом)
大抵;たいてい;taitei;mostly, usually;Na-adjective (keiyodoshi), Adverb (fukushi), Noun;в основном обычно
太陽;たいよう;taiyou;sun, solar;Noun;Солнце, солнечная
滞在;たいざい;taizai;staying, sojourn;Noun, Suru verb, Intransitive verb;оставаться, пребывание
宝;たから;takara;treasure;Noun;сокровище
弾;たま;tama;ball, sphere, globe, bullet;Noun;мяч, сфера, глобус, пуля
貯まる;たまる;tamaru;to be saved up (of money)​;Godan verb with 'ru' ending, Intransitive verb;быть сэкономленным (денег)
偶々;たまたま;tamatama;casually, unexpectedly;Adverb (fukushi);небрежно, неожиданно
貯める;ためる;tameru;to save up (money);Ichidan verb, Transitive verb;Чтобы сэкономить (деньги)
試し;ためし;tameshi;trial, test;Noun;Испытание, тест
試す;ためす;tamesu;to try out, to test;Godan verb with 'su' ending, Transitive verb;Чтобы попробовать, проверить
種;たね;tane;seed, kind, variety;Noun;Семя, добрый, разнообразие
単語;たんご;tango;word, vocabulary;Noun;Слово, словарь
谷;たに;tani;valley;Noun;долина
単位;たんい;tan’i;unit, denomination;Noun;единица, деноминация
短気;たんき;tanki;quick temper, short temper​;Noun, Na-adjective (keiyodoshi);быстрый характер, короткий характер
他人;たにん;ta’nin;another person, others;Noun;другой человек, другие
単なる;たんなる;tannaru;mere, simple, sheer;Pre-noun adjectival (rentaishi);Просто, просто, чисто
単に;たんに;tan ni;simply, merely;Adverb (fukushi);просто, просто
誕生;たんじょう;tanjou;birth, creation;Noun, Suru verb;рождение, творение
単純;たんじゅん;tanjun;simplicity, simple;Na-adjective (keiyodoshi), Noun;Простота, просто
楽しむ;たのしむ;tanoshimu;to enjoy (oneself)​;Godan verb with 'mu' ending, Transitive verb;наслаждаться (собой)
担当;たんとう;tantou;being in charge;Noun, Suru verb, Transitive verb;быть ответственным
倒す;たおす;taosu;to bring down;Godan verb with 'su' ending, Transitive verb;чтобы сбить
確かめる;たしかめる;tashikameru;to ascertain, to check;Ichidan verb, Transitive verb;Чтобы выяснить, проверить
多少;たしょう;tashou;more or less, somewhat;Adverb (fukushi), Noun which may take the genitive case particle 'no';более или менее, несколько
達する;たっする;tassuru;to reach, to get to;Suru verb - special class;достичь, чтобы добраться до
助ける;たすける;tasukeru;to save, to rescue;Ichidan verb, Transitive verb;чтобы спасти, спасти
戦い;たたかい;tatakai;battle, fight;Noun;битва, бой
戦う;たたかう;tatakau;to fight, to struggle;Godan verb with 'u' ending, Intransitive verb;бороться, бороться
叩く;たたく;tataku;to strike, to beat;Godan verb with 'ku' ending, Transitive verb;ударить, победить
縦;たて;tate;the vertical, height;Noun;Вертикальная, высота
立て直す;たてなおす;tatenaosu;to restore, to revive;Godan verb with 'su' ending, Transitive verb;восстановить, оживить
経つ;たつ;tatsu;to pass, to lapse;Godan verb with 'tsu' ending, Intransitive verb;пройти, чтобы пройти
便り;たより;tayori;news, tidings;Noun, Noun, used as a suffix, Suru verb;Новости, веса
頼る;たよる;tayoru;to rely on;Godan verb with 'ru' ending, Intransitive verb, Transitive verb;полагаться на
提案;ていあん;teian;proposal, suggestion;Noun, Suru verb, Transitive verb;Предложение, предложение
停電;ていでん;teiden;power outage, blackout;Noun, Suru verb, Intransitive verb;Отключение электроэнергии, затемнение
程度;ていど;teido;degree, amount;Noun, Adverb (fukushi), Noun, used as a suffix;степень, сумма
定期;ていき;teiki;fixed period, fixed term;Noun;Фиксированный период, фиксированный термин
抵抗;ていこう;teikou;resistance, opposition;Noun, Suru verb, Intransitive verb;Сопротивление, оппозиция
停留所;ていりゅうじょ;teiryuujou;bus stop, tram stop;Noun;Автобусная остановка, трамвайная остановка
停車;ていしゃ;teisha;stopping (of a train, car, etc.);Noun, Suru verb, Intransitive verb;Остановка (поезда, машины и т. Д.)
定食;ていしょく;teishoku;set meal;Noun;установить еду
提出;ていしゅつ;teishutsu;to present, to submit;Noun, Suru verb, Transitive verb;представить, представить
手品;てじな;tejina;sleight of hand, magic;Noun;ловкость рук, магия
敵;てき;teki;opponent, rival;Noun;противник, соперник
適する;てきする;teki suru;to fit, to suit;Suru verb - special class, Intransitive verb;чтобы соответствовать, чтобы соответствовать
適度;てきど;tekido;moderate;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun;умеренный
適切;てきせつ;tekisetsu;adequate, appropriate;Na-adjective (keiyodoshi), Noun;адекватный, уместный
適用;てきよう;tekiyou;applying, adoption;Noun, Suru verb, Transitive verb;Применение, усыновление
手間;てま;tema;time, labor;Noun;время, труд
典型;てんけい;tenkei;pattern, model;Noun;шаблон, модель
天候;てんこう;tenkou;weather;Noun;погода
店内;てんない;tennai;store interior​;Noun, Noun which may take the genitive case particle 'no';хранить интерьер
天然;てんねん;tennen;nature, spontaneity;Noun, Noun which may take the genitive case particle 'no';Природа, спонтанность
徹底;てってい;tettei;thoroughness, completeness;Noun, Suru verb, Transitive verb, Intransitive verb;тщательность, полнота
鉄;てつ;tetsu;iron;Noun;железо
手伝い;てつだい;tetsudai;assistant, help;Noun;Помощник, помощь
鉄道;てつどう;tetsudou;railroad, railway;Noun;железная дорога, железная дорога
哲学;てつがく;tetsugaku;philosophy;Noun;Философия
徹夜;てつや;tetsuya;all night;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no';всю ночь
飛ばす;とばす;tobasu;to fly, to skip over;Godan verb with 'su' ending, Transitive verb;летать, пропустить
土地;とち;tochi;plot of land, soil;Noun;участок земли, почва
届く;とどく;todoku;to reach, to be delivered;Godan verb with 'ku' ending, Intransitive verb;достичь, чтобы быть доставленным
徒歩;とほ;toho;walking, going on foot​;Noun, Noun which may take the genitive case particle 'no';ходить, ходить пешком
問い;とい;toi;question, query;Noun;Вопрос, запрос
閉じる;とじる;tojiru;to close (book, eyes);Ichidan verb, Transitive verb, Intransitive verb;закрыть (книга, глаза)
都会;とかい;tokai;city;Noun, Noun which may take the genitive case particle 'no';город
解ける;とける;tokeru;to be solved, to loosen;Ichidan verb, Intransitive verb;быть решением, ослабить
時;とき;toki;time, hour, moment, occasion;Noun;время, час, момент, случай
解く;とく;toku;to untie, to solve;Godan verb with 'ku' ending, Transitive verb;развязать, решить
特徴;とくちょう;tokuchou;feature, trait;Noun;особенность, черта
得意;とくい;tokui;one’s strong point, frequent customer;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';его сильная, частая клиент
留める;とめる;tomaru;to stop, to turn off;Ichidan verb, Transitive verb;чтобы остановиться, выключить
友;とも;tomo;friend, companion;Noun;друг, компаньон
兎に角;とにかく;tonikaku;anyhow, at any rate;Adverb (fukushi);Во всяком случае, во всяком случае
通り;とおり;toori;avenue, street;Noun;Авеню, улица
通り過ぎる;とおりすぎる;toorisugiru;to pass through;Ichidan verb, Intransitive verb;пройти через
通す;とおす;toosu;to force through, to let pass;Godan verb with 'su' ending, Transitive verb;чтобы пройти, чтобы пропустить
虎;とら;tora;tiger;Noun;тигр
取れる;とれる;toreru;to come off, to be removed;Ichidan verb, Intransitive verb;чтобы снять, чтобы быть удаленным
取上げる;とりあげる;toriageru;to take up, to pick up;Ichidan verb, Transitive verb;взять, забрать
都市;とし;toshi;town, city;Noun, Noun which may take the genitive case particle 'no';Город, город
年月;としつき;toshitsuki;months and years;Noun;месяцы и годы
年寄;としより;toshiyori;old people, the aged;Noun, Noun which may take the genitive case particle 'no';старики, пожилые
図書;としょ;tosho;books;Noun;книги
突然;とつぜん;totsuzen;abrupt, sudden;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Adverb (fukushi);внезапно, внезапно
党;とう;tou;party (political);Noun, Noun, used as a suffix;партия (политическая)
塔;とう;tou;tower, pagoda;Noun, Noun, used as a suffix;Башня, Пагода
答案;とうあん;touan;examination paper;Noun;экзаменационный документ
到着;とうちゃく;touchaku;arrival;Noun, Suru verb, Intransitive verb;прибытие
投票;とうひょう;touhyou;voting, poll;Noun, Suru verb, Intransitive verb;Голосование, опрос
当日;とうじつ;toujitsu;appointed day, very day​;Noun, Adverb (fukushi);назначен день, в тот же день
当然;とうぜん;touzen;natural;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi);естественный
登山;とざん;tozan;mountain climbing;Noun, Suru verb, Intransitive verb;гора
翼;つばさ;tsubasa;wing;Noun;крыло
土;つち;tsuchi;earth, soil, dirt;Noun;Земля, почва, грязь
次々;つぎつぎ;tsugitsugi;in succession, one by one;Adverb (fukushi), Adverb taking the 'to' particle, Noun;последовательно, один за другим
遂に;ついに;tsui ni;finally, at last;Adverb (fukushi);Наконец, наконец
捕まる;つかまる;tsukamaru;to be caught;Godan verb with 'ru' ending, Intransitive verb;быть пойманным
掴む;つかむ;tsukamu;to seize, to catch;Godan verb with 'mu' ending, Transitive verb;Чтобы захватить, поймать
疲れ;つかれ;tsukare;tiredness, fatigue;Noun;усталость, усталость
付合い;つきあい;tsukiai;association, socializing;Noun;Ассоциация, общение
付き合う;つきあう;tsukiau;to associate with, to go out with;Godan verb with 'u' ending, Intransitive verb;связать с, чтобы выйти с
就く;つく;tsuku;to take (seat, position);Godan verb with 'ku' ending, Intransitive verb;занять (место, положение)
詰める;つめる;tsumeru;to stuff into, to jam;Ichidan verb, Transitive verb;Чтобы войти, чтобы застрелить
罪;つみ;tsumi;crime, sin, wrongdoing;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';Преступление, грех, правонарушения
積もる;つもる;tsumoru;to pile up, to accumulate;Godan verb with 'ru' ending, Intransitive verb;накапливаться, накапливать
繋ぐ;つなぐ;tsunagu;to connect, to link together;Godan verb with 'gu' ending, Transitive verb;подключиться, чтобы соединить вместе
常に;つねに;tsune ni;always, constantly;Adverb (fukushi);всегда, постоянно
角;つの;tsuno;horn;Noun, Noun, used as a suffix;рог
辛い;からい;tsurai;painful, bitter;I-adjective (keiyoushi);Болезненно, горький
連れ;つれ;tsure;companion, company;Noun;Компаньон, компания
釣;つり;tsuri;fishing, angling;Noun;Рыбалка, рыбалка
伝わる;つたわる;tsutawaru;to be transmitted;Godan verb with 'ru' ending, Intransitive verb;быть переданным
勤め;つとめ;tsutome;service, duty, business;Noun;Сервис, обязанности, бизнес
包み;つつみ;tsutsumi;bundle, package, parcel;Noun;Пакет, упаковка, посылка
通知;つうち;tsuuchi;notice, notification;Noun, Suru verb, Transitive verb;Обратите внимание, уведомление
通学;つうがく;tsuugaku;commuting to school;Noun, Suru verb, Intransitive verb;Поездка в школу
通じる;つうじる;tsuujiru;to lead to, to be understood;Ichidan verb, Intransitive verb;привести к пониманию
通過;つうか;tsuuka;passage through;Noun, Suru verb, Intransitive verb;проход через
通勤;つうきん;tsuukin;commuting to work​;Noun, Suru verb, Intransitive verb;поездка на работу
通行;つうこう;tsuukou;passage, passing;Noun, Suru verb, Intransitive verb;проход, прохождение
通信;つうしん;tsuushin;correspondence, communication;Noun, Suru verb, Transitive verb, Intransitive verb;Переписка, общение
通訳;つうやく;tsuuyaku;interpretation (i.e. oral translation);Noun, Suru verb, Transitive verb;перевод, переводчик, ~suru переводить
梅雨;つゆ;tsuyu;rainy season;Noun;дождливый сезон
続き;つづき;tsuzuki;sequel, continuation;Noun;Перевод недоступен
奪う;うばう;ubau;to snatch away;Godan verb with 'u' ending, Transitive verb;чтобы вырвать
宇宙;うちゅう;uchuu;universe, cosmos;Noun;Вселенная, космос
動かす;うごかす;ugokasu;to move, to shift;Godan verb with 'su' ending, Transitive verb;двигаться, изменить
伺う;うかがう;ukagau;to ask, to inquire;Godan verb with 'u' ending, Transitive verb;Чтобы спросить
受け取る;うけとる;uketoru;to receive, to get;Godan verb with 'ru' ending, Transitive verb;получить, получить
浮く;うく;uku;to float​;Godan verb with 'ku' ending, Intransitive verb;поплавать
馬;うま;uma;horse;Noun;лошадь
生まれ;うまれ;umare;birth, birthplace;Noun;Рождение, место рождения
梅;うめ;ume;plum, plum tree;Noun;слива, сливовое дерево
埋める;うめる;umeru;to bury, to fill up;Ichidan verb, Transitive verb;похоронить, заполнить
運;うん;un;fortune, luck;Noun;удача, удача
唸る;うなる;unaru;to groan, to moan;Godan verb with 'ru' ending, Intransitive verb;стонать и стонать
運動会;うんどうかい;undoukai;athletic meet, sports day​;Noun;Спортивное собрание, день спорта
裏側;うらがわ;uragawa;the reverse, other side;Noun;наоборот, другая сторона
羨ましい;うらやましい;urayamashii;envious, jealous;I-adjective (keiyoushi);завидуется, ревниво
裏切る;うらぎる;uragiru;to betray;Godan verb with 'ru' ending, Transitive verb;предавать
売れる;うれる;ureru;to sell well;Ichidan verb, Intransitive verb;хорошо продавать
売り切れる;うりきれる;urikireru;to be sold out​;Ichidan verb, Intransitive verb;быть распроданным
兎;うさぎ;usagi;rabbit, hare;Noun;Кролик, Заяц
牛;うし;ushi;cattle, cow;Noun;скот, корова
失う;うしなう;ushinau;to lose;Godan verb with 'u' ending, Transitive verb;проиграть
疑う;うたがう;utagau;to doubt, to distrust;Godan verb with 'u' ending, Transitive verb;Чтобы сомневаться, не доверять
撃つ;うつ;utsu;to shoot, to attack;Godan verb with 'tsu' ending, Transitive verb;стрелять, атаковать
移す;うつす;utsusu;to transfer, to move;Godan verb with 'su' ending, Transitive verb;Перенос, чтобы двигаться
訴える;うったえる;uttaeru;to appeal, to sue;Ichidan verb, Transitive verb;подать апелляцию, чтобы подать в суд
噂;うわさ;uwasa;rumor, gossip;Noun, Suru verb, Noun which may take the genitive case particle 'no';Слух, сплетни
輪;わ;wa;ring, circle, loop;Noun;Кольцо, круг, петля
話題;わだい;wadai;topic, subject;Noun;Тема, тема
我が家;わがや;wagaya;one’s house, one’s home;Expressions (phrases, clauses, etc.), Noun;дом, дом
若者;わかもの;wakamono;young people;Noun;Молодые люди
別れ;わかれ;wakare;parting, separation;Noun;расставание, разделение
訳;やく;wake;reason, cause, meaning;Noun;причина, причина, значение
分ける;わける;wakeru;to divide;Ichidan verb, Transitive verb;разделить
脇;わき;waki;beside, close to, nearby;Noun;Рядом, близко, поблизости
湾;わん;wan;bay, gulf;Noun, Noun, used as a suffix;Бэй, залив
笑い;わらい;warai;laugh, laughter;Noun;Смех, смех
我々;われわれ;wareware;we;Pronoun;мы
割;わり;wari;rate, ratio, proportion;Noun, Noun, used as a suffix;скорость, соотношение, пропорция
割引;わりびき;waribiki;discount, reduction;Noun;Скидка, сокращение
割る;わる;waru;to divide, to cut;Godan verb with 'ru' ending, Transitive verb;разделить, разрезать
悪口;あっこう;warukuchi;bad mouth, insult;Noun;плохой рот, оскорбление
僅か;わずか;wazuka;only, merely;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';Только, просто
破る;やぶる;yaburu;to tear, to break;Godan verb with 'ru' ending, Transitive verb;разорвать, сломаться
家賃;やちん;yachin;rent;Noun;арендовать
宿;やど;yado;inn, lodging;Noun;гостиница, жилье
矢張り;やはり;yahari;as expected;Adverb (fukushi);как и ожидалось
夜間;やかん;yakan;night, nighttime​;Noun, Adverb (fukushi);ночь, ночь
厄介;やっかい;yakkai;trouble, nuisance;Na-adjective (keiyodoshi), Noun;Проблема, неприятность
役;やく;yaku;use, service, role;Noun;Использование, обслуживание, роль
約;やく;yaku;approximately, about;Adverb (fukushi);Приблизительно, около
役立つ;やくだつ;yakudatsu;to be useful, to be helpful;Godan verb with 'tsu' ending, Intransitive verb;быть полезным, чтобы быть полезным
役割;やくわり;yakuwari;part, role, duties;Noun;Часть, роль, обязанности
野球;やきゅう;yakyuu;baseball;Noun;бейсбол
山登り;やまのぼり;yamanobori;mountain climbing;Noun;гора
辞める;やめる;yameru;to retire, to resign;Ichidan verb, Transitive verb;уйти в отставку, уйти в отставку
屋根;やね;yane;roof;Noun;крыша
雇う;やとう;yatou;to employ, to hire;Godan verb with 'u' ending, Transitive verb;использовать, нанимать
夜明け;よあけ;yoake;dawn, daybreak;Noun;Рассвет, рассвет
予防;よぼう;yobou;prevention, precaution;Noun, Suru verb, Transitive verb;Профилактика, меры предосторожности
余分;よぶん;yobun;extra, excess;Na-adjective (keiyodoshi), Noun;дополнительное, избыток
汚れ;よごれ;yogore;dirt, filth, stain;Noun;грязь, грязь, пятно
予報;よほう;yohou;forecast, prediction;Noun, Suru verb, Transitive verb;прогноз, прогнозирование
予期;よき;yoki;expectation, forecast;Noun, Suru verb, Transitive verb;ожидание, прогноз
横切る;よこぎる;yokogiru;to cross, to traverse;Godan verb with 'ru' ending, Transitive verb;пересечь, пересекать
横;よこ;yoko;horizontal, beside;Noun;горизонтальный, рядом
翌朝;よくあさ;yokuasa;next morning​;Noun, Adverb (fukushi);На следующее утро
翌年;よくねん;yokutoshi;following year​;Noun, Adverb (fukushi);Следующий год
嫁;よめ;yome;wife, bride;Noun;Жена, невеста
読み;よみ;yomi;reading;Noun;чтение
夜中;よなか;yonaka;midnight, dead of night;Noun, Adverb (fukushi);Полночь, мертвые ночи
世の中;よのなか;yo no naka;world, society;Expressions (phrases, clauses, etc.), Noun;Мир, общество
喜び;よろこび;yorokobi;joy, delight;Noun;Радость, восторг
予算;よさん;yosan;estimate, budget;Noun, Suru verb;Оценка, бюджет
予測;よそく;yosoku;prediction, estimation;Noun, Suru verb, Transitive verb;Прогноз, оценка
予想;よそう;yosou;expectation, prediction;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';ожидание, прогноз
予想外;よそうがい;yosougai;unexpected, unforeseen;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;неожиданный, непредвиденный
止す;よす;yosu;to cease, to desist;Godan verb with 'su' ending, Transitive verb;прекратить, воздерживаться
酔う;よう;you;to get drunk;Godan verb with 'u' ending, Intransitive verb;чтобы напиться
容易;ようい;youi;easy, simple, plain;Na-adjective (keiyodoshi), Noun;Легко, просто, просто
容器;ようき;youki;container, vessel;Noun;Контейнер, судно
用心;ようじん;youjin;care, precaution;Noun, Suru verb, Transitive verb, Intransitive verb;забота, меры предосторожности
陽気;ようき;youki;weather, cheerful;Na-adjective (keiyodoshi), Noun;Погода, веселая
要求;ようきゅう;youkyuu;demand, firm request;Noun, Suru verb, Transitive verb;спрос, твердый запрос
用紙;ようし;youshi;blank form​;Noun;пустая форма
要素;ようそ;youso;element, factor, component;Noun;Элемент, фактор, компонент
様子;ようす;yousu;state, appearance;Noun;состояние, внешний вид
要点;ようてん;youten;gist, main point;Noun;Гист, главное
余裕;よゆう;yoyuu;surplus, margin;Noun;Избыток, маржа
唯一;ゆいいつ;yuiitsu;only, sole, unique;Noun which may take the genitive case particle 'no', Noun, Adverb (fukushi);Только, единственный, уникальный
床;ゆか;yuka;floor;Noun;пол
愉快;ゆかい;yukai;pleasant, happy;Na-adjective (keiyodoshi), Noun;Приятный, счастлив
行き;ゆき;yuki;bound for, going to;Noun;связан, собираясь
行き先;いきさき;yukisaki;destination, whereabouts;Noun;назначение, местонахождение
許す;ゆるす;yurusu;to permit, to allow;Godan verb with 'su' ending, Transitive verb;разрешить, разрешить
豊か;ゆたか;yutaka;abundant, wealthy;Na-adjective (keiyodoshi), Suffix;обильно, богатый
郵便;ゆうびん;yuubin;mail service;Noun;почтовая служба
遊園地;ゆうえんち;yuuenchi;amusement park;Noun;парк с аттракционами
夕方;ゆうがた;yuugata;evening, dusk​;Noun, Adverb (fukushi);Вечер, сумерки
友人;ゆうじん;yuujin;friend;Noun;друг
友情;ゆうじょう;yuujou;friendship, fellowship;Noun;Дружба, общение
勇気;ゆうき;yuuki;courage, bravery;Noun;мужество, храбрость
有効;ゆうこう;yuukou;validity, effectiveness;Na-adjective (keiyodoshi), Noun;достоверность, эффективность
友好;ゆうこう;yuukou;friendship;Noun;дружба
有能;ゆうのう;yuunou;capable, efficient;Na-adjective (keiyodoshi), Noun;способный, эффективный
有利;ゆうり;yuuri;advantageous, profitable;Na-adjective (keiyodoshi), Noun;выгодно, прибыльно
有料;ゆうりょう;yuuryou;fee-charging, paid;Noun which may take the genitive case particle 'no', Noun;платная зарядка, оплачиваемая
優勝;ゆうしょう;yuushou;championship, overall victory;Noun, Suru verb, Intransitive verb;Чемпионат, общая победа
優秀;ゆうしゅう;yuushuu;superiority, excellence;Na-adjective (keiyodoshi), Noun;превосходство, превосходство
郵送;ゆうそう;yuusou;mailing, posting​;Noun, Suru verb, Transitive verb;Рассылка, публикация
譲る;ゆずる;yuzuru;to hand over, to surrender;Godan verb with 'ru' ending, Transitive verb;передать, сдаться
稍;やや;yaya;a little, partially;Adverb (fukushi), Noun or verb acting prenominally;Немного, частично
材料;ざいりょう;zairyou;ingredients, material;Noun;ингредиенты, материал
財産;ざいさん;zaisan;property, fortune, assets;Noun;собственность, удача, активы
残業;ざんぎょう;zangyou;overtime (work)​;Noun, Suru verb, Intransitive verb;сверхурочная (работа)
座席;ざせき;zaseki;seat;Noun;сиденье
是非;ぜひ;zehi;certainly, without fail;Adverb (fukushi);Конечно, в обязательном порядке
税金;ぜいきん;zeikin;tax, duty;Noun;налог, долг
贅沢;ぜいたく;zeitaku;luxury, extravagance;Noun, Na-adjective (keiyodoshi);Роскошь, экстравагантность
善;ぜん;zen;good, goodness, virtue;Noun;Хорошо, добро, добродетель
前後;ぜんご;zengo;before and after​, front and rear;Noun;До и после, спереди и сзади
全員;ぜんいん;zen’in;all members, everyone;Noun, Adverb (fukushi);Все участники, все
前日;ぜんじつ;zenjitsu;previous day, day before;Noun, Adverb (fukushi);предыдущий день, день до
全国;ぜんこく;zenkoku;countrywide, nationwide;Noun;по всей стране, по всей стране
前者;ぜんしゃ;zensha;the former;Noun;первый
